Date,day_opening_price,day_high,day_low,day_closing_price,day_trading_volume,ZERO_START_POINT,DAY_HIGH_vs_ZERO,DAY_LOW_vs_ZERO,DAY_CLOSE_vs_ZERO
05/01/2011,1268.78,1277.63,1265.36,1276.56,"4,764,920,000",0,8.85,-3.42,7.78
06/01/2011,1276.29,1278.17,1270.43,1273.85,"4,844,100,000",0,1.88,-5.86,-2.44
07/01/2011,1274.41,1276.83,1261.7,1271.5,"4,963,110,000",0,2.42,-12.71,-2.91
10/01/2011,1270.84,1271.52,1262.18,1269.75,"4,036,450,000",0,0.68,-8.66,-1.09
11/01/2011,1272.58,1277.25,1269.62,1274.48,"4,050,750,000",0,4.67,-2.96,1.9
12/01/2011,1275.65,1286.87,1275.65,1285.96,"4,226,940,000",0,11.22,0,10.31
13/01/2011,1285.78,1286.7,1280.47,1283.76,"4,310,840,000",0,0.92,-5.31,-2.02
14/01/2011,1282.9,1293.24,1281.24,1293.24,"4,661,590,000",0,10.34,-1.66,10.34
18/01/2011,1293.22,1296.06,1290.16,1295.02,"5,284,990,000",0,2.84,-3.06,1.8
19/01/2011,1294.52,1294.6,1278.92,1281.92,"4,743,710,000",0,0.08,-15.6,-12.6
20/01/2011,1280.85,1283.35,1271.26,1280.26,"4,935,320,000",0,2.5,-9.59,-0.59
21/01/2011,1283.63,1291.21,1282.07,1283.35,"4,935,320,000",0,7.58,-1.56,-0.28
24/01/2011,1283.29,1291.93,1282.47,1290.84,"3,902,470,000",0,8.64,-0.82,7.55
25/01/2011,1288.17,1291.26,1281.07,1291.18,"4,595,380,000",0,3.09,-7.1,3.01
26/01/2011,1291.97,1299.74,1291.97,1296.63,"4,730,980,000",0,7.77,0,4.66
27/01/2011,1297.51,1301.29,1294.41,1299.54,"4,309,190,000",0,3.78,-3.1,2.03
28/01/2011,1299.63,1302.67,1275.1,1276.34,"5,618,630,000",0,3.04,-24.53,-23.29
31/01/2011,1276.5,1287.17,1276.5,1286.12,"4,167,160,000",0,10.67,0,9.62
01/02/2011,1289.14,1308.86,1289.14,1307.59,"5,164,500,000",0,19.72,0,18.45
02/02/2011,1305.91,1307.61,1302.62,1304.03,"4,098,260,000",0,1.7,-3.29,-1.88
03/02/2011,1302.77,1308.6,1294.83,1307.1,"4,370,990,000",0,5.83,-7.94,4.33
04/02/2011,1307.01,1311,1301.67,1310.87,"3,925,950,000",0,3.99,-5.34,3.86
07/02/2011,1311.85,1322.85,1311.85,1319.05,"3,902,270,000",0,11,0,7.2
08/02/2011,1318.76,1324.87,1316.03,1324.57,"3,881,530,000",0,6.11,-2.73,5.81
09/02/2011,1322.48,1324.54,1314.89,1320.88,"3,922,240,000",0,2.06,-7.59,-1.6
10/02/2011,1318.13,1322.78,1311.74,1321.87,"4,184,610,000",0,4.65,-6.39,3.74
11/02/2011,1318.66,1330.79,1316.08,1329.15,"4,219,300,000",0,12.13,-2.58,10.49
14/02/2011,1328.73,1332.96,1326.9,1332.32,"3,567,040,000",0,4.23,-1.83,3.59
15/02/2011,1330.43,1330.43,1324.61,1328.01,"3,926,860,000",0,0,-5.82,-2.42
16/02/2011,1329.51,1337.61,1329.51,1336.32,"1,966,450,000",0,8.1,0,6.81
17/02/2011,1334.37,1341.5,1331,1340.43,"1,966,450,000",0,7.13,-3.37,6.06
18/02/2011,1340.38,1344.07,1338.12,1343.01,"1,966,450,000",0,3.69,-2.26,2.63
22/02/2011,1338.91,1338.91,1312.33,1315.44,"1,322,780,000",0,0,-26.58,-23.47
23/02/2011,1315.44,1317.91,1299.55,1307.4,"1,330,340,000",0,2.47,-15.89,-8.04
